,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
857,Resort Hotel,1,82,2015,August,31,1,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,222.14,0,0,Canceled,2015-06-11
858,Resort Hotel,1,91,2015,August,31,1,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,241.0,,0,Transient,127.82,0,2,Canceled,2015-05-22
859,Resort Hotel,1,77,2015,August,31,1,2,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,194.14,0,0,Canceled,2015-05-19
860,Resort Hotel,1,130,2015,August,31,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,120.6,0,2,Canceled,2015-05-19
861,Resort Hotel,1,91,2015,August,31,1,2,5,2,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,241.0,,0,Transient,144.53,0,3,Canceled,2015-06-06
862,Resort Hotel,0,79,2015,August,31,1,2,5,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,,,0,Transient,185.0,1,4,Check-Out,2015-08-08
863,Resort Hotel,1,130,2015,August,31,1,2,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,149.0,,0,Transient,96.3,0,0,Canceled,2015-05-22
864,Resort Hotel,0,66,2015,August,31,1,2,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient,193.13,0,0,Check-Out,2015-08-09
865,Resort Hotel,1,53,2015,August,31,1,3,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,210.78,0,0,Canceled,2015-06-16
866,Resort Hotel,1,80,2015,August,31,1,4,6,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242.0,,0,Transient,169.0,0,1,Canceled,2015-07-21
867,Resort Hotel,1,77,2015,August,31,1,4,6,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,174.7,0,3,Canceled,2015-07-22
868,Resort Hotel,1,57,2015,August,31,1,4,10,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,241.0,,0,Transient,135.53,0,0,Canceled,2015-07-07
869,Resort Hotel,0,11,2015,August,31,1,4,10,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,104.0,,0,Transient,172.0,0,0,Check-Out,2015-08-15
13859,Resort Hotel,0,78,2015,August,31,1,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,150.0,1,2,Check-Out,2015-08-03
13991,Resort Hotel,0,0,2015,August,31,1,0,1,2,0.0,0,BB,,Direct,Direct,0,0,1,G,G,0,No Deposit,,,0,Transient,200.0,1,1,Check-Out,2015-08-02
14037,Resort Hotel,0,113,2015,August,31,1,18,42,1,0.0,0,HB,,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,110.5,0,3,Check-Out,2015-09-30
14812,Resort Hotel,1,209,2015,August,31,1,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,1,0,H,H,0,No Deposit,240.0,,0,Transient,199.0,0,2,Canceled,2015-02-09
14905,Resort Hotel,1,152,2015,August,31,1,4,10,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,149.0,,0,Transient,119.7,0,0,Canceled,2015-04-04
14950,Resort Hotel,1,256,2015,August,31,1,4,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,E,E,0,No Deposit,240.0,,0,Transient-Party,166.0,0,1,Canceled,2015-04-16
14951,Resort Hotel,1,256,2015,August,31,1,4,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,240.0,,0,Transient-Party,120.6,0,1,Canceled,2015-04-16
14965,Resort Hotel,1,169,2015,August,31,1,3,6,2,0.0,0,BB,PRT,Direct,Direct,0,1,0,A,A,1,No Deposit,250.0,,0,Transient,125.9,0,1,Canceled,2015-04-25
15017,Resort Hotel,1,212,2015,August,31,1,2,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,240.0,,0,Transient,184.0,0,1,Canceled,2015-04-29
15084,Resort Hotel,1,144,2015,August,31,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,D,0,No Deposit,6.0,,0,Transient,90.95,0,1,Canceled,2015-06-03
15586,Resort Hotel,1,209,2015,August,31,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,240.0,,0,Transient,120.6,0,1,Canceled,2015-07-27
15601,Resort Hotel,1,256,2015,August,31,1,3,6,2,2.0,0,BB,PRT,Online TA,TA/TO,0,1,0,G,G,1,No Deposit,240.0,,0,Transient-Party,199.0,0,1,Canceled,2015-07-27
15746,Resort Hotel,0,156,2015,August,31,1,2,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,134.0,0,1,Check-Out,2015-08-09
15794,Resort Hotel,0,0,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,132.44,1,1,Check-Out,2015-08-02
15808,Resort Hotel,0,1,2015,August,31,1,1,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,162.5,0,1,Check-Out,2015-08-03
15813,Resort Hotel,0,44,2015,August,31,1,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,154.0,0,0,Check-Out,2015-08-03
15817,Resort Hotel,0,64,2015,August,31,1,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,154.0,0,0,Check-Out,2015-08-03
15819,Resort Hotel,0,22,2015,August,31,1,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,134.0,0,0,Check-Out,2015-08-03
15836,Resort Hotel,0,1,2015,August,31,1,2,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,252.0,0,3,Check-Out,2015-08-04
15853,Resort Hotel,0,79,2015,August,31,1,2,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,177.0,,0,Transient,149.0,0,0,Check-Out,2015-08-05
15854,Resort Hotel,0,77,2015,August,31,1,2,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,95.0,,0,Transient,201.5,0,1,Check-Out,2015-08-05
15860,Resort Hotel,0,82,2015,August,31,1,2,2,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,143.5,0,2,Check-Out,2015-08-05
15880,Resort Hotel,0,5,2015,August,31,1,2,3,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,165.32,0,2,Check-Out,2015-08-06
15905,Resort Hotel,0,103,2015,August,31,1,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,,0,Transient,179.0,1,0,Check-Out,2015-08-07
15912,Resort Hotel,0,3,2015,August,31,1,2,5,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,241.0,,0,Transient,163.33,0,3,Check-Out,2015-08-08
15919,Resort Hotel,0,0,2015,August,31,1,2,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.0,,0,Transient,120.6,1,3,Check-Out,2015-08-08
15927,Resort Hotel,0,166,2015,August,31,1,2,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,210.43,1,2,Check-Out,2015-08-08
15928,Resort Hotel,0,157,2015,August,31,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,134.0,0,1,Check-Out,2015-08-08
15929,Resort Hotel,0,10,2015,August,31,1,2,5,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient,219.9,0,0,Check-Out,2015-08-08
15930,Resort Hotel,0,82,2015,August,31,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,162.14,0,1,Check-Out,2015-08-08
15931,Resort Hotel,0,70,2015,August,31,1,2,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,250.0,,0,Transient,187.14,0,0,Check-Out,2015-08-08
15933,Resort Hotel,0,124,2015,August,31,1,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,120.6,0,2,Check-Out,2015-08-08
15935,Resort Hotel,0,32,2015,August,31,1,2,6,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,176.75,0,0,Check-Out,2015-08-09
15943,Resort Hotel,0,67,2015,August,31,1,2,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient,193.13,0,1,Check-Out,2015-08-09
15951,Resort Hotel,0,71,2015,August,31,1,2,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,196.0,,0,Transient,0.0,0,0,Check-Out,2015-08-09
15958,Resort Hotel,0,177,2015,August,31,1,2,6,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,166.0,0,1,Check-Out,2015-08-09
15968,Resort Hotel,0,67,2015,August,31,1,2,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,2,No Deposit,240.0,,0,Transient,193.13,0,1,Check-Out,2015-08-09
15973,Resort Hotel,0,129,2015,August,31,1,3,6,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,125.9,1,1,Check-Out,2015-08-10
15982,Resort Hotel,0,105,2015,August,31,1,3,6,1,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,140.0,0,0,Check-Out,2015-08-10
15988,Resort Hotel,0,130,2015,August,31,1,3,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,170.6,0,0,Check-Out,2015-08-10
16016,Resort Hotel,0,155,2015,August,31,1,4,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,F,G,2,No Deposit,240.0,,0,Transient,201.8,2,1,Check-Out,2015-08-11
16022,Resort Hotel,0,67,2015,August,31,1,4,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,191.7,0,1,Check-Out,2015-08-11
16023,Resort Hotel,0,67,2015,August,31,1,4,6,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,208.2,0,1,Check-Out,2015-08-11
16024,Resort Hotel,0,211,2015,August,31,1,4,6,3,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115.0,,0,Contract,160.98,0,1,Check-Out,2015-08-11
16057,Resort Hotel,0,212,2015,August,31,1,4,8,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient-Party,164.0,0,1,Check-Out,2015-08-13
16058,Resort Hotel,0,212,2015,August,31,1,4,8,2,0.0,0,HB,CHE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient-Party,164.0,0,1,Check-Out,2015-08-13
16087,Resort Hotel,0,103,2015,August,31,1,4,9,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,,,0,Transient,297.5,1,1,Check-Out,2015-08-14
40560,City Hotel,0,0,2015,August,31,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,75.0,0,0,Check-Out,2015-08-02
40561,City Hotel,0,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,B,B,1,No Deposit,17.0,,0,Transient-Party,89.75,0,0,Check-Out,2015-08-04
40562,City Hotel,0,117,2015,August,31,1,2,1,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,17.0,,0,Transient-Party,72.5,0,0,Check-Out,2015-08-04
40563,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40564,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40565,City Hotel,1,130,2015,August,31,1,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,76.5,0,1,Canceled,2015-07-07
40566,City Hotel,0,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Check-Out,2015-08-04
40567,City Hotel,0,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Check-Out,2015-08-04
40568,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40569,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40570,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40571,City Hotel,1,130,2015,August,31,1,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,85.5,0,1,Canceled,2015-07-07
40572,City Hotel,0,117,2015,August,31,1,2,1,3,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,17.0,,0,Transient-Party,138.5,0,0,Check-Out,2015-08-04
40573,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40574,City Hotel,1,2,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-30
40575,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-30
40576,City Hotel,0,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Check-Out,2015-08-04
40577,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40578,City Hotel,0,117,2015,August,31,1,2,1,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,17.0,,0,Transient-Party,72.5,0,0,Check-Out,2015-08-04
40579,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40580,City Hotel,1,2,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-30
40581,City Hotel,0,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Check-Out,2015-08-04
40582,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40583,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40584,City Hotel,0,117,2015,August,31,1,2,1,1,1.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,B,B,2,No Deposit,17.0,,0,Transient-Party,80.75,0,1,Check-Out,2015-08-04
40585,City Hotel,0,117,2015,August,31,1,2,1,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,17.0,,0,Transient-Party,72.5,0,0,Check-Out,2015-08-04
40586,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40587,City Hotel,1,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-28
40588,City Hotel,1,2,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Canceled,2015-07-30
40589,City Hotel,0,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Check-Out,2015-08-04
40590,City Hotel,0,117,2015,August,31,1,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17.0,,0,Transient-Party,94.5,0,0,Check-Out,2015-08-04
40591,City Hotel,0,4,2015,August,31,1,2,1,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,17.0,,0,Transient-Party,36.25,0,0,Check-Out,2015-08-04
40592,City Hotel,0,135,2015,August,31,1,2,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,76.5,0,3,Check-Out,2015-08-06
40593,City Hotel,0,94,2015,August,31,1,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,76.5,0,0,Check-Out,2015-08-07
74885,City Hotel,1,166,2015,August,31,1,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,2,Canceled,2015-05-20
870,Resort Hotel,1,25,2015,August,32,2,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,144.0,0,2,Canceled,2015-07-08
871,Resort Hotel,1,2,2015,August,32,2,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,162.5,0,1,Canceled,2015-08-01
872,Resort Hotel,1,36,2015,August,32,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,209.6,0,2,Canceled,2015-06-29
873,Resort Hotel,1,36,2015,August,32,2,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,209.6,0,2,Canceled,2015-06-29
874,Resort Hotel,0,115,2015,August,32,2,2,5,3,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,5.0,,0,Transient,195.5,1,1,Check-Out,2015-08-09
875,Resort Hotel,0,95,2015,August,32,2,2,4,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,4,No Deposit,,,0,Transient,186.0,1,4,Check-Out,2015-08-08
876,Resort Hotel,0,67,2015,August,32,2,2,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,163.5,0,1,Check-Out,2015-08-08
877,Resort Hotel,0,60,2015,August,32,2,2,5,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,180.28,0,0,Check-Out,2015-08-09
878,Resort Hotel,0,34,2015,August,32,2,2,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,C,C,3,No Deposit,250.0,,0,Transient,174.76,1,1,Check-Out,2015-08-09
879,Resort Hotel,0,78,2015,August,32,2,4,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,116.85,0,0,Check-Out,2015-08-11
880,Resort Hotel,0,93,2015,August,32,2,2,5,2,0.0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,175.0,,0,Transient,159.0,0,0,Check-Out,2015-08-09
881,Resort Hotel,1,327,2015,August,32,2,4,10,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,104.55,0,0,Canceled,2015-04-23
15414,Resort Hotel,1,159,2015,August,32,2,2,4,2,1.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,D,D,0,No Deposit,15.0,,0,Transient,134.1,0,1,Canceled,2015-07-15
15632,Resort Hotel,1,153,2015,August,32,2,4,6,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,D,D,0,No Deposit,6.0,,0,Transient,134.1,0,0,Canceled,2015-07-29
15798,Resort Hotel,0,157,2015,August,32,2,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,196.0,,0,Transient-Party,119.7,0,2,Check-Out,2015-08-09
15833,Resort Hotel,0,67,2015,August,32,2,2,0,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,241.0,,0,Transient,137.9,1,2,Check-Out,2015-08-04
15834,Resort Hotel,0,67,2015,August,32,2,2,0,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,137.9,1,1,Check-Out,2015-08-04
15840,Resort Hotel,0,2,2015,August,32,2,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,146.25,0,1,Check-Out,2015-08-04
15844,Resort Hotel,0,0,2015,August,32,2,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,192.0,0,0,Check-Out,2015-08-04
15848,Resort Hotel,0,123,2015,August,32,2,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,138.6,0,2,Check-Out,2015-08-05
